Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
275,Southeast Missouri State,31,15,9,10,4,16,7,4,11,.484,-6.12,-5.33,15,9,10,4,16,7,4,11,15,9,10,4,16,7,4,11,15,9,10,4,16,7,4,11,2192,2170,1245,819,1724,.475,181,490,.369,373,592,.630,353,976,462,156,108,405,582
276,Southeastern Louisiana,29,12,5,11,1,17,11,4,13,.414,-11.94,-6.44,12,5,11,1,17,11,4,13,12,5,11,1,17,11,4,13,12,5,11,1,17,11,4,13,1738,1795,1180,629,1530,.411,128,425,.301,352,596,.591,330,957,321,180,102,446,511
277,Southern California,32,6,1,4,1,26,17,13,11,.188,-0.51,6.58,6,1,4,1,26,17,13,11,6,1,4,1,26,17,13,11,6,1,4,1,26,17,13,11,1683,1910,1290,642,1658,.387,127,469,.271,272,445,.611,256,790,305,184,65,341,476
278,SIU Edwardsville,27,10,6,7,3,17,10,6,9,.370,-13.30,-5.50,10,6,7,3,17,10,6,9,10,6,7,3,17,10,6,9,10,6,7,3,17,10,6,9,1775,1924,1080,626,1419,.441,182,459,.397,341,521,.655,250,799,330,152,61,415,499
279,Southern Illinois,31,8,5,6,2,23,13,8,11,.258,-3.51,3.12,8,5,6,2,23,13,8,11,8,5,6,2,23,13,8,11,8,5,6,2,23,13,8,11,1944,2144,1250,709,1711,.414,135,478,.282,391,611,.640,371,922,363,230,103,437,662
280,Southern Methodist,32,13,4,9,3,19,12,5,9,.406,-1.26,1.34,13,4,9,3,19,12,5,9,13,4,9,3,19,12,5,9,13,4,9,3,19,12,5,9,1909,1922,1300,645,1539,.419,248,728,.341,371,551,.673,249,817,382,221,72,403,543
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
281,Southern Mississippi NCAA,34,25,11,15,7,9,5,0,6,.735,7.79,3.61,25,11,15,7,9,5,0,6,25,11,15,7,9,5,0,6,25,11,15,7,9,5,0,6,2426,2212,1395,819,1975,.415,215,601,.358,573,779,.736,471,1133,374,205,98,377,651
282,Southern Utah,31,14,8,7,4,17,10,6,10,.452,-6.22,-3.18,14,8,7,4,17,10,6,10,14,8,7,4,17,10,6,10,14,8,7,4,17,10,6,10,2038,2106,1255,755,1594,.474,82,276,.297,446,617,.723,302,888,443,169,71,432,633
283,Southern,31,17,13,9,6,14,5,2,10,.548,-16.17,-11.35,17,13,9,6,14,5,2,10,17,13,9,6,14,5,2,10,17,13,9,6,14,5,2,10,1879,1981,1255,659,1607,.410,145,462,.314,416,607,.685,256,919,342,183,111,435,601
284,St. Bonaventure NCAA,32,20,10,11,6,12,6,2,8,.625,8.25,2.84,20,10,11,6,12,6,2,8,20,10,11,6,12,6,2,8,20,10,11,6,12,6,2,8,2254,2081,1295,770,1687,.456,174,504,.345,540,710,.761,352,1038,444,186,133,439,592
285,St. Francis (NY),30,15,12,8,7,15,6,4,10,.500,-6.02,-6.75,15,12,8,7,15,6,4,10,15,12,8,7,15,6,4,10,15,12,8,7,15,6,4,10,2084,2062,1205,727,1685,.431,239,672,.356,391,590,.663,344,962,392,205,73,486,643
286,St. John's (NY),32,13,6,11,2,19,12,7,10,.406,2.63,6.98,13,6,11,2,19,12,7,10,13,6,11,2,19,12,7,10,13,6,11,2,19,12,7,10,2129,2268,1285,757,1803,.420,130,461,.282,485,713,.680,424,977,345,255,119,454,533
287,Stanford,37,26,10,17,5,11,8,3,6,.703,12.64,3.99,26,10,17,5,11,8,3,6,26,10,17,5,11,8,3,6,26,10,17,5,11,8,3,6,2657,2337,1505,938,2107,.445,252,665,.379,529,794,.666,451,1227,475,246,126,512,716
288,Stephen F. Austin,32,20,12,12,7,12,4,3,6,.625,-1.46,-5.67,20,12,12,7,12,4,3,6,20,12,12,7,12,4,3,6,20,12,12,7,12,4,3,6,1970,1741,1290,724,1620,.447,111,387,.287,411,650,.632,376,1024,442,229,87,437,535
289,Stetson,29,9,6,6,3,20,12,6,12,.310,-7.48,-0.66,9,6,6,3,20,12,6,12,9,6,6,3,20,12,6,12,9,6,6,3,20,12,6,12,2089,2275,1175,732,1660,.441,229,667,.343,396,570,.695,341,973,434,188,83,514,560
290,Stony Brook,32,22,14,13,7,10,2,1,8,.688,-0.45,-6.22,22,14,13,7,10,2,1,8,22,14,13,7,10,2,1,8,22,14,13,7,10,2,1,8,2125,1892,1285,768,1800,.427,199,604,.329,390,563,.693,448,1082,353,177,53,395,483
291,Syracuse NCAA,37,34,17,19,9,3,1,0,1,.919,21.12,8.02,34,17,19,9,3,1,0,1,34,17,19,9,3,1,0,1,34,17,19,9,3,1,0,1,2742,2257,1485,1006,2156,.467,233,668,.349,495,709,.698,459,1181,564,338,255,389,574
292,Temple NCAA,32,24,13,10,10,8,3,1,4,.750,10.44,4.94,24,13,10,10,8,3,1,4,24,13,10,10,8,3,1,4,24,13,10,10,8,3,1,4,2401,2225,1305,861,1836,.469,228,574,.397,451,627,.719,333,1019,493,230,134,401,567
293,Tennessee-Martin,31,4,0,2,2,27,16,12,15,.129,-17.09,-3.15,4,0,2,2,27,16,12,15,4,0,2,2,27,16,12,15,4,0,2,2,27,16,12,15,1943,2327,1255,701,1698,.413,125,437,.286,416,592,.703,371,892,403,187,73,478,602
294,Tennessee State,33,20,11,11,7,13,5,2,9,.606,-3.06,-2.73,20,11,11,7,13,5,2,9,20,11,11,7,13,5,2,9,20,11,11,7,13,5,2,9,2250,2199,1345,774,1772,.437,203,586,.346,499,724,.689,396,1023,415,248,113,516,609
295,Tennessee Tech,33,19,9,9,7,14,7,5,8,.576,-3.81,-3.06,19,9,9,7,14,7,5,8,19,9,9,7,14,7,5,8,19,9,9,7,14,7,5,8,2365,2357,1330,823,1772,.464,179,511,.350,540,758,.712,361,1015,450,226,78,499,629
296,Tennessee,34,19,10,15,4,15,6,4,8,.559,9.49,6.58,19,10,15,4,15,6,4,8,19,10,15,4,15,6,4,8,19,10,15,4,15,6,4,8,2338,2216,1385,809,1848,.438,229,649,.353,491,699,.702,382,1159,436,193,149,466,628
297,Texas A&M-Corpus Christi,30,6,4,3,3,24,12,9,13,.200,-12.21,-3.04,6,4,3,3,24,12,9,13,6,4,3,3,24,12,9,13,6,4,3,3,24,12,9,13,1755,2030,1210,627,1584,.396,141,461,.306,360,600,.600,326,915,347,171,111,456,592
298,Texas A&M,32,14,4,11,1,18,14,7,8,.438,5.57,6.54,14,4,11,1,18,14,7,8,14,4,11,1,18,14,7,8,14,4,11,1,18,14,7,8,1956,1968,1285,732,1695,.432,162,491,.330,330,502,.657,348,986,375,182,71,446,574
299,Texas-Arlington,33,24,15,12,9,9,1,1,7,.727,3.35,-5.09,24,15,12,9,9,1,1,7,24,15,12,9,9,1,1,7,24,15,12,9,9,1,1,7,2537,2232,1325,842,1884,.447,229,647,.354,624,888,.703,439,1197,442,260,123,531,632
300,Texas Christian,33,18,7,14,3,15,7,3,9,.545,1.72,3.44,18,7,14,3,15,7,3,9,18,7,14,3,15,7,3,9,18,7,14,3,15,7,3,9,2382,2379,1345,819,1884,.435,239,668,.358,505,731,.691,357,1006,445,228,80,455,628
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
301,Texas-El Paso,32,15,7,11,1,17,9,5,11,.469,2.92,2.85,15,7,11,1,17,9,5,11,15,7,11,1,17,9,5,11,15,7,11,1,17,9,5,11,2021,2019,1310,727,1588,.458,144,423,.340,423,619,.683,269,928,447,151,89,431,540
302,Texas-Rio Grande Valley,32,11,5,10,1,21,5,5,15,.344,-13.66,-4.44,11,5,10,1,21,5,5,15,11,5,10,1,21,5,5,15,11,5,10,1,21,5,5,15,1993,2194,1280,677,1631,.415,230,631,.365,409,580,.705,268,882,423,163,63,492,568
303,Texas-San Antonio,32,18,10,8,8,14,6,5,8,.563,-1.83,-4.40,18,10,8,8,14,6,5,8,18,10,8,8,14,6,5,8,18,10,8,8,14,6,5,8,2339,2168,1304,793,1775,.447,272,690,.394,481,647,.743,299,967,433,263,97,443,557
304,Texas Southern,33,15,12,9,4,18,6,1,16,.455,-10.26,-8.68,15,12,9,4,18,6,1,16,15,12,9,4,18,6,1,16,15,12,9,4,18,6,1,16,2021,2073,1330,684,1656,.413,183,555,.330,470,746,.630,372,1036,331,278,139,560,592
305,Texas State,30,13,5,9,3,17,11,5,11,.433,-8.66,-5.31,13,5,9,3,17,11,5,11,13,5,9,3,17,11,5,11,13,5,9,3,17,11,5,11,2292,2243,1200,796,1842,.432,245,679,.361,455,639,.712,361,962,419,247,95,443,629
306,Texas Tech,31,8,1,7,1,23,17,8,11,.258,-2.61,6.10,8,1,7,1,23,17,8,11,8,1,7,1,23,17,8,11,8,1,7,1,23,17,8,11,1844,2114,1245,644,1470,.438,142,398,.357,414,590,.702,242,848,345,161,92,530,658
307,Texas NCAA,34,20,9,15,4,14,9,3,7,.588,14.00,8.12,20,9,15,4,14,9,3,7,20,9,15,4,14,9,3,7,20,9,15,4,14,9,3,7,2470,2270,1370,836,1927,.434,197,601,.328,601,820,.733,453,1118,419,231,125,426,659
308,Toledo,36,19,7,11,5,17,9,8,7,.528,-3.35,-3.64,19,7,11,5,17,9,8,7,19,7,11,5,17,9,8,7,19,7,11,5,17,9,8,7,2500,2385,1440,871,1916,.455,217,588,.369,543,748,.726,382,1104,469,251,79,490,605
309,Towson,32,1,1,1,0,31,17,13,15,.031,-16.71,1.54,1,1,1,0,31,17,13,15,1,1,1,0,31,17,13,15,1,1,1,0,31,17,13,15,1647,2231,1280,580,1581,.367,108,400,.270,379,647,.586,439,1056,261,177,135,580,587
310,Troy,28,10,5,6,4,18,11,7,10,.357,-7.48,-0.85,10,5,6,4,18,11,7,10,10,5,6,4,18,11,7,10,10,5,6,4,18,11,7,10,1996,2122,1130,721,1758,.410,250,724,.345,304,450,.676,392,910,360,188,103,347,478
311,Tulane,31,15,3,12,2,16,13,5,10,.484,-0.12,-1.61,15,3,12,2,16,13,5,10,15,3,12,2,16,13,5,10,15,3,12,2,16,13,5,10,2002,1910,1250,693,1641,.422,184,546,.337,432,653,.662,336,944,381,219,104,394,515
312,Tulsa,31,17,10,10,6,14,6,5,6,.548,5.82,2.85,17,10,10,6,14,6,5,6,17,10,10,6,14,6,5,6,17,10,10,6,14,6,5,6,2093,2001,1275,710,1577,.450,178,463,.384,495,727,.681,339,1026,345,149,152,458,575
313,UCLA,33,19,11,10,4,14,7,4,7,.576,10.53,5.28,19,11,10,4,14,7,4,7,19,11,10,4,14,7,4,7,19,11,10,4,14,7,4,7,2263,2063,1320,848,1838,.461,169,453,.373,398,596,.668,363,1062,473,260,153,395,560
314,Utah State,37,21,8,17,4,16,6,5,10,.568,3.49,-0.37,21,8,17,4,16,6,5,10,21,8,17,4,16,6,5,10,21,8,17,4,16,6,5,10,2551,2400,1485,896,1887,.475,208,566,.367,551,766,.719,337,1154,497,146,119,449,665
315,Utah Valley,33,20,9,14,5,13,1,2,10,.606,-6.53,-7.11,20,9,14,5,13,1,2,10,20,9,14,5,13,1,2,10,20,9,14,5,13,1,2,10,2305,2190,1335,819,1931,.424,189,599,.316,478,685,.698,422,1198,443,214,121,418,524
316,Utah,31,6,3,6,0,25,15,9,12,.194,-9.31,5.49,6,3,6,0,25,15,9,12,6,3,6,0,25,15,9,12,6,3,6,0,25,15,9,12,1720,2161,1245,606,1496,.405,163,532,.306,345,518,.666,226,799,320,159,78,435,514
317,Valparaiso,34,22,14,14,8,12,4,3,8,.647,0.61,0.02,22,14,14,8,12,4,3,8,22,14,14,8,12,4,3,8,22,14,14,8,12,4,3,8,2323,2223,1370,786,1682,.467,229,673,.340,522,730,.715,287,1019,466,204,98,483,585
318,Vanderbilt NCAA,36,25,10,13,6,11,6,5,5,.694,15.71,8.04,25,10,13,6,11,6,5,5,25,10,13,6,11,6,5,5,25,10,13,6,11,6,5,5,2615,2339,1455,885,1921,.461,307,792,.388,538,770,.699,361,1125,458,214,144,465,580
319,Vermont NCAA,36,24,13,10,10,12,3,4,6,.667,0.98,-5.19,24,13,10,10,12,3,4,6,24,13,10,10,12,3,4,6,24,13,10,10,12,3,4,6,2415,2193,1455,848,1914,.443,191,561,.340,528,714,.739,401,1166,475,221,86,445,627
320,Villanova,32,13,5,9,2,19,13,6,9,.406,7.89,7.64,13,5,9,2,19,13,6,9,13,5,9,2,19,13,6,9,13,5,9,2,19,13,6,9,2266,2258,1300,762,1848,.412,196,622,.315,546,724,.754,441,1115,394,178,101,447,613
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
321,Virginia Commonwealth NCAA,36,29,15,13,10,7,3,1,3,.806,8.79,0.63,29,15,13,10,7,3,1,3,29,15,13,10,7,3,1,3,29,15,13,10,7,3,1,3,2448,2154,1450,837,2040,.410,267,800,.334,507,740,.685,439,1115,433,379,131,411,646
322,VMI,33,17,8,13,1,16,10,2,13,.515,-9.43,-5.16,17,8,13,1,16,10,2,13,17,8,13,1,16,10,2,13,17,8,13,1,16,10,2,13,2631,2660,1325,892,2006,.445,283,888,.319,564,784,.719,338,977,438,273,124,438,618
323,Virginia Tech,33,16,4,11,3,17,12,7,8,.485,8.93,6.21,16,4,11,3,17,12,7,8,16,4,11,3,17,12,7,8,16,4,11,3,17,12,7,8,2147,2057,1330,754,1797,.420,205,562,.365,434,599,.725,369,1010,386,183,107,391,581
324,Virginia NCAA,32,22,9,13,7,10,7,3,4,.688,12.51,4.23,22,9,13,7,10,7,3,4,22,9,13,7,10,7,3,4,22,9,13,7,10,7,3,4,2000,1735,1285,721,1576,.457,155,469,.330,403,558,.722,253,944,394,207,88,367,506
325,Wagner,31,25,15,12,12,6,3,3,3,.806,3.60,-5.50,25,15,12,12,6,3,3,3,25,15,12,12,6,3,3,3,25,15,12,12,6,3,3,3,2275,1993,1240,779,1767,.441,204,566,.360,513,690,.743,384,968,400,244,126,412,681
326,Wake Forest,31,13,4,9,3,18,12,7,8,.419,-0.75,4.19,13,4,9,3,18,12,7,8,13,4,9,3,18,12,7,8,13,4,9,3,18,12,7,8,2029,2182,1240,689,1613,.427,166,499,.333,485,659,.736,262,893,362,162,142,394,518
327,Washington State,37,19,7,12,6,18,11,4,10,.514,6.17,4.06,19,7,12,6,18,11,4,10,19,7,12,6,18,11,4,10,19,7,12,6,18,11,4,10,2521,2421,1485,860,1836,.468,228,623,.366,573,808,.709,339,1107,505,178,103,485,643
328,Washington,35,24,14,18,6,11,4,2,5,.686,10.79,5.27,24,14,18,6,11,4,2,5,24,14,18,6,11,4,2,5,24,14,18,6,11,4,2,5,2646,2453,1410,966,2157,.448,217,633,.343,497,798,.623,510,1294,475,233,139,460,693
329,Weber State,32,25,14,16,7,7,2,0,7,.781,1.51,-3.65,25,14,16,7,7,2,0,7,25,14,16,7,7,2,0,7,25,14,16,7,7,2,0,7,2473,2210,1295,825,1797,.459,285,728,.391,538,661,.814,277,1021,424,178,78,340,578
330,West Virginia NCAA,33,19,9,11,4,14,9,5,6,.576,12.13,7.53,19,9,11,4,14,9,5,6,19,9,11,4,14,9,5,6,19,9,11,4,14,9,5,6,2346,2194,1355,838,1914,.438,174,583,.298,496,739,.671,493,1135,477,210,85,422,555
331,Western Carolina,35,17,8,9,4,18,10,4,12,.486,-6.57,-3.42,17,8,9,4,18,10,4,12,17,8,9,4,18,10,4,12,17,8,9,4,18,10,4,12,2503,2459,1420,885,2090,.423,263,748,.352,470,681,.690,460,1127,380,284,107,459,667
332,Western Illinois,33,18,9,10,6,15,9,4,10,.545,-2.84,-1.39,18,9,10,6,15,9,4,10,18,9,10,6,15,9,4,10,18,9,10,6,15,9,4,10,2031,1985,1345,744,1626,.458,174,441,.395,369,538,.686,245,854,422,200,90,375,496
333,Western Kentucky NCAA,35,16,7,8,3,19,9,7,8,.457,-2.66,0.51,16,7,8,3,19,9,7,8,16,7,8,3,19,9,7,8,16,7,8,3,19,9,7,8,2272,2383,1410,769,1952,.394,195,638,.306,539,785,.687,449,1173,385,195,146,534,691
334,Western Michigan,34,14,6,11,2,20,10,3,12,.412,-1.80,0.17,14,6,11,2,20,10,3,12,14,6,11,2,20,10,3,12,14,6,11,2,20,10,3,12,2332,2375,1375,801,1841,.435,205,606,.338,525,741,.709,423,1183,449,159,104,495,644
335,Wichita State NCAA,33,27,16,14,10,6,2,1,1,.818,17.42,3.80,27,16,14,10,6,2,1,1,27,16,14,10,6,2,1,1,27,16,14,10,6,2,1,1,2545,2060,1340,912,1892,.482,230,620,.371,491,656,.748,359,1157,485,209,130,403,553
336,William & Mary,32,6,4,4,2,26,14,9,14,.188,-10.79,-0.72,6,4,4,2,26,14,9,14,6,4,4,2,26,14,9,14,6,4,4,2,26,14,9,14,1931,2220,1285,662,1632,.406,218,679,.321,389,547,.711,262,890,343,154,67,411,545
337,Winthrop,32,12,8,7,4,20,10,5,11,.375,-7.64,-3.47,12,8,7,4,20,10,5,11,12,8,7,4,20,10,5,11,12,8,7,4,20,10,5,11,2035,2112,1295,754,1793,.421,157,506,.310,370,564,.656,373,976,349,217,104,393,594
338,Wisconsin NCAA,36,26,12,14,7,10,6,4,4,.722,19.04,8.24,26,12,14,7,10,6,4,4,26,12,14,7,10,6,4,4,26,12,14,7,10,6,4,4,2304,1915,1450,797,1875,.425,285,775,.368,425,575,.739,349,1112,428,181,126,320,512
339,Wofford,33,19,12,11,7,14,6,2,10,.576,-3.62,-3.79,19,12,11,7,14,6,2,10,19,12,11,7,14,6,2,10,19,12,11,7,14,6,2,10,2110,2087,1330,777,1792,.434,218,665,.328,338,508,.665,344,993,463,173,78,382,536
340,Wright State,32,13,7,9,4,19,11,7,11,.406,-4.07,0.25,13,7,9,4,19,11,7,11,13,7,9,4,19,11,7,11,13,7,9,4,19,11,7,11,1857,1967,1290,625,1569,.398,189,550,.344,418,594,.704,260,813,319,210,50,436,635
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
341,Wyoming,33,21,6,16,5,12,8,3,9,.636,6.79,1.43,21,6,16,5,12,8,3,9,21,6,16,5,12,8,3,9,21,6,16,5,12,8,3,9,2068,1855,1325,710,1585,.448,197,602,.327,451,610,.739,227,884,373,227,104,388,557
342,Xavier NCAA,36,23,10,13,5,13,6,3,6,.639,9.59,6.22,23,10,13,5,13,6,3,6,23,10,13,5,13,6,3,6,23,10,13,5,13,6,3,6,2543,2422,1455,899,1986,.453,176,501,.351,569,819,.695,378,1183,471,216,135,448,665
343,Yale,29,19,9,11,7,10,5,1,9,.655,-1.37,-2.63,19,9,11,7,10,5,1,9,19,9,11,7,10,5,1,9,19,9,11,7,10,5,1,9,1991,1878,1165,678,1571,.432,176,509,.346,459,646,.711,340,978,383,151,115,410,522
344,Youngstown State,31,16,10,10,6,15,8,4,10,.516,-1.78,-1.65,16,10,10,6,15,8,4,10,16,10,10,6,15,8,4,10,16,10,10,6,15,8,4,10,2095,2047,1250,746,1729,.431,270,708,.381,333,514,.648,296,887,405,201,164,347,504
