G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,15,16,.484,6,6,7,8,2113,2128,712,1683,.423,201,664,.303,488,737,.662,1116,366,285,101,637,720
31,13,18,.419,7,5,5,12,1925,2029,660,1613,.409,206,705,.292,399,591,.675,925,348,263,38,389,598
28,12,16,.429,6,7,6,9,2025,2168,697,1572,.443,134,421,.318,497,655,.759,913,317,192,81,452,471
31,18,13,.581,13,3,3,8,2245,2062,813,1772,.459,166,484,.343,453,621,.729,1181,539,201,154,540,581
32,22,10,.688,15,1,6,7,2406,2201,889,1910,.465,210,609,.345,418,616,.679,1177,530,220,110,497,621
32,22,10,.688,11,1,10,7,2339,2232,799,1759,.454,256,621,.412,485,697,.696,1059,379,186,74,368,610
34,25,9,.735,14,1,10,6,2171,1954,738,1695,.435,191,544,.351,504,687,.734,1091,463,324,123,521,621
33,18,15,.545,11,3,4,10,2415,2328,814,2068,.394,330,1009,.327,457,639,.715,1155,378,276,108,383,668
31,9,22,.290,4,7,2,13,2009,2232,678,1596,.425,236,608,.388,417,638,.654,939,375,161,69,503,548
30,13,17,.433,8,4,4,13,2012,2025,692,1565,.442,232,599,.387,396,566,.700,1030,353,179,88,405,499
31,4,27,.129,2,12,1,14,1907,2307,668,1717,.389,225,685,.328,346,511,.677,976,312,149,94,458,587
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
32,14,18,.438,9,5,4,10,2224,2257,776,1875,.414,231,619,.373,441,612,.721,1169,421,212,162,396,559
31,15,16,.484,11,4,3,10,2068,2016,738,1624,.454,233,640,.364,359,557,.645,999,463,215,101,468,572
35,23,12,.657,14,3,3,6,2245,1997,790,1830,.432,241,691,.349,424,680,.624,1231,488,205,99,491,604
