G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
35,25,10,.714,10,2,12,6,2457,2267,1405,826,1884,.438,166,524,.317,639,930,.687,433,1291,423,239,141,487,635
33,25,8,.758,12,2,6,4,2700,2404,1330,899,1962,.458,252,676,.373,650,861,.755,441,1272,448,259,133,452,731
36,27,9,.750,20,2,7,7,2737,2392,1450,979,2117,.462,253,691,.366,526,747,.704,462,1331,536,318,148,443,626
29,10,19,.345,8,6,2,13,2569,2799,1165,883,2120,.417,335,1026,.327,468,687,.681,384,1075,422,301,144,426,594
34,25,9,.735,17,2,6,6,2473,2215,1385,851,1994,.427,157,511,.307,614,856,.717,443,1278,414,237,158,419,637
31,15,16,.484,11,6,2,8,2029,1971,1250,733,1720,.426,177,507,.349,386,516,.748,318,1053,403,190,81,333,510
31,5,26,.161,2,11,2,14,1833,2111,1210,659,1635,.403,228,663,.344,287,463,.620,328,1002,369,194,105,518,571
31,20,11,.645,13,2,5,7,2257,2155,1270,811,1869,.434,134,435,.308,501,762,.657,463,1306,369,221,162,471,624
31,16,15,.516,8,5,4,9,2229,2190,1260,753,1677,.449,175,502,.349,548,777,.705,371,1073,397,190,140,431,540
36,26,10,.722,17,2,4,6,2851,2519,1445,1004,2212,.454,191,568,.336,652,905,.720,476,1364,515,264,151,460,766
31,20,11,.645,13,2,5,9,2361,2202,1255,787,1768,.445,250,703,.356,537,737,.729,362,1116,401,200,93,387,607
38,31,7,.816,12,2,7,4,2752,2414,1545,942,2190,.430,257,762,.337,611,868,.704,585,1467,589,213,155,451,686
34,22,12,.647,14,2,7,9,2525,2352,1360,907,2022,.449,274,753,.364,437,682,.641,441,1197,459,321,99,472,757
30,13,17,.433,8,7,5,9,1771,1804,1205,609,1489,.409,153,437,.350,400,588,.680,274,968,317,198,128,383,555
